0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 0, 0, 167461, 1670, 11748, 56337, 32328, 7030, 53, 3811, 531, 0, 21, 154796
30, 0, 0, 60502, 284, 2023, 1826, 1614, 2455, 43, 1334, 1046, 0, 68, 10070
26, 0, 0, 595770, 65806, 22507, 70010, 34823, 8286, 61, 7170, 1550, 0, 23, 90762
20, 0, 0, 58950, 1968, 818, 3211, 1209, 466, 53, 516, 2068, 0, 9, 8501
16, 0, 0, 129182, 2461, 4528, 14531, 3494, 8489, 47, 4035, 2641, 0, -1, 91036
14, 0, 0, 691358, 12237, 14932, 19922, 8034, 2993, 56, 2062, 3138, 0, 141, 74150
20, 0, 0, 351567, 8321, 9876, 15598, 11575, 12833, 47, 6629, 3642, 0, 133, 35251
21, 0, 0, 512942, 8903, 5588, 7344, 6643, 4040, 35, 1094, 4165, 0, -158, 54205
29, 0, 0, 228938, 7863, 8793, 27919, 11230, 9025, 47, 6775, 4678, 0, 35, 69607
17, 0, 24, 975380, 160813, 20892, 63529, 26825, 21162, 60, 2747, 5192, 0, 26, 211774
14, 0, 0, 1231881, 39496, 18468, 8291, 35209, 12719, 53, 4765, 5726, 0, 2, 117962
14, 0, 0, 981378, 43898, 57494, 133943, 86484, 14464, 51, 5833, 6243, 0, -1221, 668170
14, 0, 0, 490968, 196903, 107218, 245092, 195822, 64769, 51, 40589, 6756, 51, 279, 396099
14, 0, 0, 293257, 12167, 5826, 16759, 4884, 2354, 51, 795, 7265, 25, 425, 27774
14, 0, 8, 253312, 14557, 4656, 10198, 2504, 2661, 57, 6041, 7782, 0, -1806, 29920
14, 0, 0, 878574, 11136, 22824, 7343, 14898, 6363, 57, 3172, 8234, 51, -113, 79325
14, 0, 0, 1425574, 17526, 9544, 12159, 11752, 1957, 57, 517, 8706, 51, -1394, 33548
14, 0, 0, 893724, 21448, 68437, 3061, 43382, 21671, 57, 7587, 9269, 51, 2047, 47820
14, 0, 0, 356396, 24624, 53502, 21864, 30484, 24395, 57, 15170, 9756, 51, -65, 80071
14, 0, 0, 809032, 13573, 6064, 12403, 5212, 2784, 57, 838, 10324, 25, 282, 31269
26, 0, 0, 3385908, 39763, 20575, 38497, 27380, 6185, 54, 6824, 10828, 0, -242, 68116
30, 0, 0, 124056, 2406, 2839, 5080, 2195, 816, 64, 2432, 11374, 0, 171, 8597
34, 0, 0, 193085, 10399, 4844, 8531, 8198, 4207, 75, 7602, 11869, 0, 476, 30724
20, 0, 0, 48180, 2500, 1065, 5698, 2120, 1055, 57, 582, 12388, 0, -18, 42413
20, 0, 0, 1237651, 10621, 12594, 18054, 9393, 3988, 57, 452, 12899, 51, -280, 60980
20, 0, 0, 1007392, 15360, 12998, 10913, 9910, 1653, 57, 1379, 13424, 25, 212, 45456
16, 0, 0, 178909, 1855, 899, 3201, 975, 1564, 60, 361, 13945, 0, 3, 4808
11, 0, 0, 839633, 42243, 19557, 72737, 11977, 8995, 75, 14825, 14460, 0, 90, 44666
4, 0, 0, 98007, 16974, 4434, 26644, 3044, 4295, 80, 2857, 14974, 0, 288, 51642
13, 0, 0, 105083, 1654, 1141, 3206, 2487, 547, 83, 1628, 15483, 0, -39, 18493
11, 0, 0, 887295, 33768, 24934, 80460, 21340, 5589, 78, 14797, 15999, 0, -42, 179629
8, 0, 0, 1103247, 21324, 28652, 92202, 33301, 8274, 57, 8038, 16431, 0, 58, 204988
20, 0, 119, 229875, 18406, 51405, 78374, 45303, 15003, 44, 10537, 16951, 0, -250, 233157
20, 0, 0, 1031393, 8604, 3564, 4358, 6511, 721, 44, 348, 17497, 51, 40, 67302
20, 0, 0, 103748, 883, 627, 4913, 1431, 1529, 44, 641, 17996, 25, -152, 2441
16, 0, 0, 106977, 23499, 6529, 8264, 12794, 9167, 43, 3597, 18514, 0, 201, 132083
16, 0, 0, 1562996, 39751, 44880, 24391, 54388, 17034, 23, 13814, 19071, 0, -99, 452985
8, 0, 0, 799061, 27559, 89685, 154486, 89774, 113140, 1, 33886, 19566, 0, -137, 1908649
3, 0, 0, 546603, 8832, 6244, 29681, 7475, 6965, 17, 5361, 20095, 0, 117, 33917
13, 0, 46, 1377291, 77439, 78220, 17386, 155364, 33443, 8, 18182, 20624, 0, 41, 670465
3, 0, 0, 1940374, 34403, 6044, 22402, 19413, 7253, 23, 3701, 21102, 0, -132, 142158
3, 0, 0, 3133594, 36509, 23241, 40733, 36548, 20459, 23, 15235, 21651, 51, 113, 110994
3, 0, 0, 583764, 10824, 7332, 1715, 11514, 1233, 23, 1424, 22165, 25, 76, 14929
3, 0, 0, 251384, 23140, 8451, 17296, 5244, 1759, 23, 3815, 22679, 25, 102, 30215
3, 0, 0, 282360, 1764, 1882, 6418, 3097, 1472, 23, 2392, 23187, 25, 156, 32990
10, 0, 0, 2335140, 32722, 13895, 21932, 15194, 3817, 43, 2561, 23708, 0, 113, 120249
10, 0, 3, 312419, 39962, 25923, 16359, 39022, 21500, 43, 14032, 24223, 51, 45, 83087
10, 0, 0, 525814, 118341, 8314, 185783, 46406, 5312, 43, 5045, 24654, 51, -243, 332774
1, 0, 0, 206930, 3861, 2252, 447, 1734, 1488, 10, 3290, 25194, 0, 20, 55933
1, 0, 0, 846725, 38810, 8087, 33747, 18337, 4853, 21, 20003, 25714, 0, 104, 316565
8, 0, 0, 130835, 7601, 16946, 32658, 10789, 5192, 34, 17159, 26198, 0, 218, 27913
11, 0, 0, 662624, 84790, 51254, 123985, 28530, 34965, 43, 32755, 26737, 0, 64, 207953
11, 0, 0, 629433, 73888, 75642, 65537, 53752, 53876, 43, 16277, 27285, 51, 531, 38815
11, 0, 0, 871064, 19713, 12608, 40698, 14144, 3883, 43, 727, 27792, 51, -220, 50050
11, 0, 166, 1314153, 18830, 13835, 18475, 20068, 1247, 43, 1168, 28300, 51, -46, 101713
23, 0, 0, 143195, 1835, 1459, 1235, 1363, 549, 60, 1164, 28838, 0, 425, 9639
27, 0, 0, 462227, 17591, 5405, 12461, 8608, 1814, 61, 617, 29340, 0, -157, 114885
4, 0, 0, 548313, 10969, 2360, 19483, 17334, 2737, 44, 1555, 29871, 0, -146, 103478
4, 0, 0, 892269, 13259, 11397, 6230, 9505, 2063, 44, 584, 30384, 51, 10, 67143
