0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53, 0, 0, 73683, 3018, 7104, 15757, 5553, 4818, 43, 2168, 629, 0, 65, 73141
88, 0, 0, 75494, 9217, 26951, 15656, 18523, 4486, 30, 6367, 1143, 0, 40, 57728
75, 0, 0, 110095, 8564, 4566, 18215, 9528, 3365, 1, 1116, 1669, 0, -88, 93003
64, 0, 0, 1034279, 30153, 25006, 18231, 34267, 6351, 1, 1912, 2183, 0, -42, 241769
61, 0, 0, 903071, 16691, 11871, 18934, 39999, 3645, 1, 1078, 2696, 0, 208, 114674
51, 0, 0, 916161, 75573, 96331, 68123, 143517, 75652, 1, 10169, 3210, 0, 137, 492008
61, 0, 0, 3883173, 106290, 14822, 13175, 18087, 6855, 10, 4628, 3723, 0, -103, 92955
48, 0, 0, 925538, 89314, 10373, 70904, 13204, 7503, 40, 7725, 4237, 0, 122, 137636
37, 0, 0, 1770656, 104829, 21244, 90585, 116496, 5729, 48, 2820, 4750, 0, -187, 368313
37, 0, 0, 824538, 117909, 150845, 137702, 255408, 7175, 48, 5884, 5264, 26, -375, 357820
40, 0, 0, 990435, 8974, 13672, 15658, 18996, 1707, 54, 987, 5777, 0, 151, 56018
35, 0, 0, 280078, 7182, 2434, 347, 7385, 988, 26, 277, 6293, 0, 8, 39688
60, 0, 0, 46941, 13515, 6322, 4697, 5424, 5493, 21, 770, 6805, 0, 41, 13533
77, 0, 0, 15123, 10358, 3669, 11379, 13821, 2736, 30, 1149, 7318, 0, 51, 12710
69, 0, 0, 13595, 11493, 3181, 7098, 8797, 3176, 51, 1415, 7832, 0, 39, 8376
84, 0, 0, 14299, 4393, 2759, 3546, 7002, 2844, 67, 2529, 8345, 0, 580, 9471
51, 0, 0, 386913, 6125, 22777, 60453, 44696, 9200, 41, 4691, 8860, 0, -300, 1013411
48, 0, 0, 870540, 30179, 16295, 74158, 30624, 6039, 47, 2795, 9373, 0, 32, 97959
40, 0, 0, 111662, 20424, 8281, 26501, 19899, 5357, 38, 2560, 9887, 0, 185, 83676
16, 0, 0, 878877, 63972, 5541, 19824, 15151, 2737, 54, 3639, 10399, 0, 130, 64582
38, 0, 0, 114797, 5510, 6689, 33614, 11576, 5759, 81, 1543, 10914, 0, 54, 47465
29, 0, 0, 44298, 27666, 6735, 31137, 9553, 3841, 81, 3819, 11427, 0, 42, 80145
38, 0, 0, 13671, 22921, 4657, 8343, 10400, 3068, 94, 2628, 11941, 0, 53, 12130
64, 0, 0, 15528, 7951, 5215, 14937, 8644, 1433, 96, 2489, 12454, 0, 25, 5769
67, 0, 0, 67895, 14313, 5370, 7790, 5453, 1375, 96, 994, 12967, 0, 104, 27915
64, 0, 6, 532363, 77312, 6669, 15818, 13681, 2719, 100, 3787, 13482, 0, -331, 78985
47, 0, 0, 116881, 13576, 8776, 28290, 6441, 5790, 75, 7422, 13996, 0, 604, 237629
26, 0, 0, 137079, 18796, 8085, 69148, 22169, 8914, 70, 3631, 14489, 0, 11, 73845
16, 0, 11, 147250, 7810, 7698, 29125, 7909, 8254, 64, 15204, 15000, 0, 196, 101612
27, 0, 0, 484165, 14280, 10237, 16283, 3325, 7300, 50, 1713, 15530, 0, 41, 85843
44, 0, 0, 78617, 7439, 7679, 26998, 6838, 9161, 66, 4836, 16050, 0, -13, 43506
53, 0, 0, 243184, 29358, 15273, 17094, 23446, 9241, 54, 4139, 16564, 0, 53, 124024
61, 0, 0, 367376, 13901, 15375, 47359, 11983, 3516, 57, 2803, 17075, 0, -140, 97128
61, 0, 0, 1124670, 28997, 29719, 174203, 38228, 17402, 69, 11612, 17591, 0, 57, 186574
78, 0, 0, 565543, 3707, 13512, 888, 11315, 4129, 43, 2094, 18104, 0, -178, 37586
78, 0, 0, 1786821, 100835, 196432, 80983, 146085, 38685, 24, 9973, 18616, 0, 957, 2150909
74, 0, 0, 1192860, 54553, 42744, 116356, 48018, 23569, 21, 5979, 19130, 0, 250, 389482
74, 0, 0, 56426, 5100, 3081, 14556, 11486, 975, 21, 542, 19644, 26, -99, 24307
74, 0, 0, 1766415, 9619, 7400, 11150, 8825, 1757, 21, 905, 20158, 51, 153, 65314
74, 0, 0, 1310055, 46079, 74032, 17465, 56813, 8480, 21, 5593, 20669, 51, -113, 352236
77, 0, 0, 1470728, 20727, 21360, 21629, 20524, 4541, 4, 1482, 21183, 0, 182, 163508
77, 0, 0, 589215, 105678, 106105, 40910, 113967, 7885, 27, 2308, 21694, 0, -89, 171103
60, 0, 0, 316873, 69532, 3999, 31128, 7793, 1475, 63, 764, 22212, 0, -55, 62997
53, 0, 0, 697491, 66475, 15340, 38363, 27458, 2699, 67, 2162, 22726, 0, 231, 165896
44, 0, 0, 289645, 27575, 9574, 36996, 42885, 2458, 77, 1327, 23241, 0, -21, 108736
37, 0, 0, 82720, 8101, 10535, 21756, 23194, 1371, 80, 482, 23755, 0, 356, 31144
35, 0, 0, 302291, 10190, 1393, 921, 4495, 813, 54, 350, 24268, 0, 67, 49147
24, 0, 0, 84796, 973, 669, 4306, 2064, 660, 47, 740, 24783, 0, 54, 17456
35, 0, 0, 83462, 2418, 2756, 1068, 4706, 3288, 30, 1382, 25297, 0, 41, 20492
11, 0, 0, 75481, 15161, 8678, 39297, 2550, 3824, 26, 4638, 25809, 0, -119, 179160
29, 0, 0, 379185, 1764, 837, 2907, 1804, 193, 38, 57, 26321, 0, 93, 7367
53, 0, 0, 122245, 4764, 10822, 14608, 9731, 7550, 37, 9164, 26835, 0, 178, 64725
47, 0, 3, 448320, 127329, 22334, 15508, 33910, 15488, 57, 11483, 27337, 0, 80, 149224
53, 0, 0, 251661, 70263, 42333, 60171, 65937, 18795, 53, 10776, 27863, 0, 128, 553800
